file,qmos,perceived_emotion,emos,target,emos_match,cat_angry,cat_happy,cat_neutral,cat_sad,cat_surprised,valence,arousal,dominance,error
sample_001.wav,1.6278,happy,3.0024,happy,True,0.0465,0.4305,0.3363,0.0433,0.1433,3.4878,3.6026,2.8929,
sample_002.wav,1.9837,neutral,2.7222,happy,False,0.0678,0.3034,0.4594,0.0605,0.109,3.2987,3.3109,2.9038,
sample_003.wav,1.4108,happy,3.0747,happy,True,0.042,0.3849,0.3552,0.0743,0.1436,3.4542,3.3907,2.8876,
sample_004.wav,1.5009,neutral,2.7183,happy,False,0.1002,0.327,0.3515,0.0551,0.1662,3.2899,3.5948,2.9128,
sample_005.wav,1.454,happy,2.8373,happy,True,0.0755,0.4053,0.3129,0.0367,0.1697,3.4285,3.7848,2.9412,
sample_006.wav,1.8967,neutral,2.418,happy,False,0.0654,0.2277,0.4499,0.0973,0.1597,3.0835,3.2465,2.6751,
sample_007.wav,1.6529,neutral,2.8777,happy,False,0.0641,0.3222,0.3854,0.072,0.1564,3.3516,3.3501,2.8925,
sample_008.wav,1.9169,neutral,2.1888,happy,False,0.0944,0.1882,0.4364,0.093,0.188,2.9651,3.3999,2.6701,
sample_009.wav,1.9063,neutral,2.6945,happy,False,0.0878,0.3142,0.3798,0.0576,0.1607,3.2736,3.5517,2.8898,
sample_010.wav,2.0197,happy,3.3635,happy,True,0.0504,0.5817,0.2217,0.0157,0.1305,3.8012,3.9501,3.2052,
sample_011.wav,1.6087,neutral,2.7369,happy,False,0.0365,0.3153,0.44,0.0802,0.128,3.3193,3.2188,2.7439,
sample_012.wav,2.0169,happy,2.9512,happy,True,0.0513,0.3907,0.362,0.0524,0.1436,3.462,3.4734,2.8641,
sample_013.wav,1.7481,neutral,2.3108,happy,False,0.1058,0.2174,0.4165,0.0797,0.1806,3.0492,3.4538,2.785,
sample_014.wav,2.0439,neutral,2.613,happy,False,0.1093,0.3365,0.3639,0.0386,0.1516,3.3139,3.7267,2.9334,
sample_015.wav,2.0452,neutral,2.9077,happy,False,0.057,0.3482,0.3693,0.0721,0.1535,3.3649,3.4316,2.872,
sample_016.wav,1.4203,neutral,2.7816,happy,False,0.0428,0.3136,0.412,0.0877,0.144,3.3248,3.2332,2.7207,
sample_017.wav,1.9271,happy,2.9822,happy,True,0.0842,0.4138,0.2834,0.0405,0.1781,3.4907,3.7972,3.0198,
sample_018.wav,2.0837,happy,3.1617,happy,True,0.0394,0.4636,0.3214,0.0431,0.1326,3.5962,3.554,2.9572,
sample_019.wav,1.549,neutral,2.713,happy,False,0.0503,0.2999,0.3664,0.1024,0.181,3.256,3.4211,2.7357,
sample_020.wav,1.589,neutral,2.7073,happy,False,0.0811,0.3363,0.3599,0.0503,0.1723,3.3157,3.6251,2.8597,
sample_021.wav,2.6142,neutral,2.1927,happy,False,0.0304,0.1739,0.5677,0.1218,0.1062,3.001,2.8639,2.4356,
sample_022.wav,2.0214,neutral,2.8955,happy,False,0.0428,0.3744,0.3779,0.0646,0.1403,3.409,3.3935,2.7829,
sample_023.wav,1.5301,neutral,2.9019,happy,False,0.0424,0.3281,0.3843,0.093,0.1522,3.3597,3.3119,2.7743,
sample_024.wav,2.3238,happy,3.358,happy,True,0.092,0.5338,0.1729,0.0196,0.1818,3.7803,4.031,3.2936,
sample_025.wav,1.9571,happy,2.982,happy,True,0.0685,0.3781,0.3455,0.0472,0.1607,3.4406,3.6043,2.9951,
sample_026.wav,1.931,neutral,2.7503,happy,False,0.0648,0.3357,0.377,0.0604,0.1621,3.3169,3.4866,2.8014,
sample_027.wav,2.3543,neutral,2.4193,happy,False,0.021,0.2351,0.5087,0.1232,0.112,3.1591,2.9338,2.408,
sample_028.wav,1.8614,neutral,2.1742,happy,False,0.1214,0.1911,0.4265,0.0827,0.1783,2.9958,3.4018,2.8107,
sample_029.wav,1.6217,happy,3.1527,happy,True,0.0539,0.4811,0.2697,0.0361,0.1591,3.5995,3.8107,3.0305,
sample_030.wav,1.4169,neutral,2.5994,happy,False,0.0482,0.285,0.4477,0.0722,0.1469,3.2338,3.301,2.677,
sample_031.wav,1.67,neutral,2.5295,happy,False,0.0443,0.2663,0.4625,0.0871,0.1399,3.191,3.2,2.5923,
sample_032.wav,1.8151,neutral,2.7417,happy,False,0.0395,0.3514,0.4194,0.0628,0.1268,3.3535,3.3432,2.6933,
sample_033.wav,1.4339,happy,3.1877,happy,True,0.0686,0.3812,0.3093,0.0629,0.178,3.4826,3.5248,3.0357,
sample_034.wav,2.4892,neutral,2.4951,happy,False,0.1464,0.3193,0.324,0.0322,0.1781,3.3142,3.8347,3.0824,
sample_035.wav,2.0242,happy,2.9759,happy,True,0.0407,0.3971,0.3717,0.0589,0.1317,3.4698,3.4295,2.8364,
sample_036.wav,1.9579,happy,2.995,happy,True,0.037,0.3847,0.3754,0.0693,0.1336,3.4492,3.384,2.8207,
sample_037.wav,1.8838,neutral,2.6198,happy,False,0.075,0.2975,0.4025,0.0636,0.1613,3.2396,3.5027,2.8044,
sample_038.wav,1.5704,neutral,2.6881,happy,False,0.0853,0.3082,0.3755,0.0592,0.1718,3.2544,3.5141,2.8235,
sample_039.wav,1.6198,neutral,2.5924,happy,False,0.0962,0.2931,0.3703,0.0543,0.186,3.2355,3.5728,2.9131,
sample_040.wav,2.1376,happy,3.0381,happy,True,0.0378,0.4017,0.3598,0.0699,0.1308,3.4686,3.4166,2.8328,
sample_041.wav,2.28,happy,2.9089,happy,True,0.0497,0.4014,0.3688,0.0433,0.1368,3.4585,3.5254,2.8493,
sample_042.wav,2.0842,neutral,2.7305,happy,False,0.0338,0.3015,0.4277,0.0997,0.1372,3.2661,3.2167,2.621,
sample_043.wav,2.2033,happy,3.1584,happy,True,0.0189,0.4672,0.3851,0.0435,0.0853,3.6492,3.2901,2.8923,
sample_044.wav,1.6746,neutral,2.9193,happy,False,0.0407,0.388,0.4019,0.0537,0.1158,3.4694,3.372,2.8336,
sample_045.wav,1.6166,neutral,2.9816,happy,False,0.0776,0.3415,0.3417,0.0734,0.1659,3.3548,3.517,2.9395,
sample_046.wav,2.1515,happy,3.1899,happy,True,0.0712,0.4435,0.301,0.0386,0.1457,3.5579,3.6276,3.0665,
sample_047.wav,1.7287,happy,3.1024,happy,True,0.0566,0.4609,0.2732,0.0288,0.1804,3.5972,3.7843,3.0352,
sample_048.wav,1.7111,happy,2.9682,happy,True,0.1051,0.4032,0.2306,0.0377,0.2234,3.4739,3.8754,3.1562,
sample_049.wav,1.6187,neutral,2.7226,happy,False,0.0789,0.2728,0.392,0.0776,0.1787,3.2193,3.3691,2.8531,
sample_050.wav,2.107,happy,3.1288,happy,True,0.0403,0.398,0.3566,0.0679,0.1371,3.4948,3.3956,2.9308,
sample_051.wav,2.0325,neutral,2.9515,happy,False,0.0594,0.3809,0.3917,0.0453,0.1227,3.4706,3.4543,2.9463,
sample_052.wav,2.5485,neutral,2.5389,happy,False,0.0306,0.2849,0.5134,0.0681,0.1029,3.2493,3.1205,2.5865,
sample_053.wav,2.0206,neutral,2.3563,happy,False,0.0449,0.2111,0.5463,0.0842,0.1135,3.0727,3.0584,2.5496,
sample_054.wav,2.0102,neutral,2.3737,happy,False,0.0413,0.2041,0.5104,0.103,0.1413,3.0765,3.0559,2.528,
sample_055.wav,1.5447,neutral,2.5295,happy,False,0.1022,0.294,0.4058,0.0434,0.1545,3.2159,3.6016,2.8636,
sample_056.wav,1.5915,neutral,2.8707,happy,False,0.0747,0.3386,0.3581,0.0592,0.1695,3.3444,3.5433,2.8722,
sample_057.wav,1.6188,neutral,2.7748,happy,False,0.0831,0.3282,0.3627,0.053,0.173,3.3061,3.5219,2.883,
sample_058.wav,1.8823,happy,2.932,happy,True,0.0821,0.3564,0.3159,0.0509,0.1947,3.3987,3.5959,3.0194,
sample_059.wav,2.0008,neutral,2.2968,happy,False,0.062,0.2248,0.4979,0.0805,0.1347,3.05,3.2445,2.5805,
sample_060.wav,1.4495,happy,2.8622,happy,True,0.1066,0.3486,0.3034,0.0489,0.1926,3.4013,3.6788,3.0753,
sample_061.wav,1.5659,neutral,2.6885,happy,False,0.0654,0.2993,0.4231,0.0652,0.1471,3.2593,3.418,2.8039,
sample_062.wav,1.8726,neutral,2.3605,happy,False,0.066,0.1813,0.4196,0.1174,0.2157,3.0464,3.2559,2.6741,
sample_063.wav,1.8678,neutral,2.8391,happy,False,0.0189,0.3794,0.4225,0.0714,0.1077,3.4475,3.2129,2.6109,
sample_064.wav,1.637,happy,3.1198,happy,True,0.0414,0.4221,0.3327,0.0571,0.1466,3.5165,3.4962,2.8782,
sample_065.wav,1.8236,happy,3.1841,happy,True,0.0314,0.4903,0.3068,0.0433,0.1283,3.6389,3.5829,2.8977,
sample_066.wav,1.4952,happy,3.014,happy,True,0.0486,0.3946,0.3626,0.0565,0.1377,3.5038,3.4294,2.9297,
sample_067.wav,1.9852,neutral,2.7002,happy,False,0.0179,0.2854,0.4576,0.1228,0.1163,3.2959,2.9763,2.503,
sample_068.wav,2.082,neutral,2.6778,happy,False,0.0443,0.282,0.4559,0.0954,0.1224,3.2248,3.1699,2.6785,
sample_069.wav,2.1907,neutral,2.1257,happy,False,0.0302,0.1678,0.5297,0.1618,0.1105,2.935,2.8563,2.4065,
sample_070.wav,2.012,happy,3.0096,happy,True,0.0507,0.4007,0.3529,0.0551,0.1407,3.466,3.5272,2.8991,
sample_071.wav,1.8828,neutral,2.9314,happy,False,0.0354,0.367,0.3746,0.0788,0.1442,3.4105,3.3323,2.7946,
sample_072.wav,1.666,neutral,2.7301,happy,False,0.0418,0.2904,0.4428,0.0937,0.1313,3.2519,3.1937,2.7119,
sample_073.wav,1.4487,neutral,2.2579,happy,False,0.164,0.2625,0.3556,0.0378,0.1802,3.1793,3.7918,3.0269,
sample_074.wav,1.8154,neutral,2.6957,happy,False,0.0429,0.3156,0.4633,0.0635,0.1146,3.3202,3.2401,2.7442,
sample_075.wav,1.6165,neutral,2.7692,happy,False,0.0277,0.3483,0.4461,0.0698,0.108,3.387,3.1936,2.6913,
sample_076.wav,1.8395,neutral,2.8243,happy,False,0.0357,0.3653,0.428,0.061,0.11,3.4176,3.2652,2.7367,
sample_077.wav,1.4866,neutral,2.7103,happy,False,0.0477,0.2995,0.4057,0.0888,0.1583,3.2672,3.2998,2.6984,
sample_078.wav,2.1116,happy,3.0667,happy,True,0.0495,0.4288,0.3089,0.0508,0.1621,3.5114,3.6598,2.8754,
sample_079.wav,1.6154,neutral,2.5631,happy,False,0.0311,0.2696,0.5187,0.0833,0.0973,3.2233,3.0337,2.5876,
sample_080.wav,1.7561,neutral,2.8029,happy,False,0.0371,0.3806,0.3902,0.0522,0.1398,3.4274,3.4207,2.7855,
sample_081.wav,1.669,happy,2.7703,happy,True,0.0946,0.34,0.3288,0.0459,0.1907,3.3666,3.6363,2.9728,
sample_082.wav,1.6513,neutral,2.4926,happy,False,0.1394,0.3103,0.3483,0.038,0.164,3.2815,3.7887,3.0218,
